time (ms),signal in,signal out,frequency (Hz),spectrum
8.66667,-0.89507,-1.44295,19546.9,0.0204901,
8.6875,-0.897226,-1.46361,19593.8,0.0203233,
8.70833,-0.898767,-1.48327,19640.6,0.0204511,
8.72917,-0.899692,-1.50191,19687.5,0.0202881,
8.75,-0.9,-1.51952,19734.4,0.020413,
8.77083,-0.899692,-1.53609,19781.2,0.020254,
8.79167,-0.898767,-1.5516,19828.1,0.0203756,
8.8125,-0.897226,-1.56606,19875,0.0202206,
8.83333,-0.89507,-1.57944,19921.9,0.0203389,
8.85417,-0.8923,-1.59173,19968.8,0.020188,
8.875,-0.888919,-1.60294,20015.6,0.0203034,
8.89583,-0.884929,-1.61304,20062.5,0.0201562,
8.91667,-0.880333,-1.62205,20109.4,0.0202688,
8.9375,-0.875133,-1.62994,20156.2,0.0201256,
8.95833,-0.869333,-1.63671,20203.1,0.0202353,
8.97917,-0.862938,-1.64236,20250,0.0200954,
9,-0.855951,-1.64689,20296.9,0.0202023,
9.02083,-0.848377,-1.65028,20343.8,0.0200664,
9.04167,-0.840222,-1.65255,20390.6,0.0201704,
9.0625,-0.831492,-1.65368,20437.5,0.0200388,
9.08333,-0.822191,-1.65368,20484.4,0.0201391,
9.10417,-0.812327,-1.65255,20531.2,0.020011,
9.125,-0.801906,-1.65028,20578.1,0.020109,
9.14583,-0.790935,-1.64689,20625,0.0199844,
9.16667,-0.779423,-1.64236,20671.9,0.0200794,
9.1875,-0.767376,-1.63671,20718.8,0.0199584,
9.20833,-0.754803,-1.62994,20765.6,0.0200507,
9.22917,-0.741713,-1.62205,20812.5,0.019934,
9.25,-0.728115,-1.61304,20859.4,0.0200231,
9.27083,-0.714018,-1.60294,20906.2,0.0199092,
9.29167,-0.699431,-1.59173,20953.1,0.0199959,
9.3125,-0.684365,-1.57943,21000,0.0198861,
9.33333,-0.66883,-1.56606,21046.9,0.01997,
9.35417,-0.652837,-1.5516,21093.8,0.0198637,
9.375,-0.636396,-1.53609,21140.6,0.0199445,
9.39583,-0.619519,-1.51952,21187.5,0.0198417,
9.41667,-0.602217,-1.50191,21234.4,0.0199197,
9.4375,-0.584503,-1.48327,21281.2,0.0198207,
9.45833,-0.566388,-1.46361,21328.1,0.0198963,
9.47917,-0.547885,-1.44295,21375,0.0198007,
9.5,-0.529007,-1.42131,21421.9,0.0198735,
9.52083,-0.509765,-1.39868,21468.8,0.0197814,
9.54167,-0.490175,-1.3751,21515.6,0.0198514,
9.5625,-0.470249,-1.35058,21562.5,0.0197626,
9.58333,-0.45,-1.32513,21609.4,0.0198303,
9.60417,-0.429442,-1.29878,21656.2,0.019745,
9.625,-0.408591,-1.27153,21703.1,0.0198095,
9.64583,-0.38746,-1.24341,21750,0.0197278,
9.66667,-0.366063,-1.21444,21796.9,0.0197899,
9.6875,-0.344415,-1.18464,21843.8,0.0197116,
9.70833,-0.322531,-1.15402,21890.6,0.0197711,
9.72917,-0.300426,-1.12262,21937.5,0.0196963,
9.75,-0.278115,-1.09044,21984.4,0.0197529,
9.77083,-0.255613,-1.05752,22031.2,0.0196814,
9.79167,-0.232937,-1.02387,22078.1,0.0197354,
9.8125,-0.210101,-0.989523,22125,0.0196676,
9.83333,-0.18712,-0.954496,22171.9,0.0197187,
9.85417,-0.164012,-0.918815,22218.8,0.0196543,
9.875,-0.140791,-0.882504,22265.6,0.0197029,
9.89583,-0.117473,-0.845588,22312.5,0.0196413,
9.91667,-0.0940756,-0.808094,22359.4,0.0196877,
9.9375,-0.0706129,-0.770044,22406.2,0.01963,
9.95833,-0.0471018,-0.731467,22453.1,0.0196736,
9.97917,-0.0235592,-0.69239,22500,0.0196192,
10,3.14722e-07,-0.652837,22546.9,0.0196599,
10.0208,0.0235599,-0.612836,22593.8,0.019609,
10.0417,0.0471024,-0.572417,22640.6,0.0196472,
10.0625,0.0706135,-0.531604,22687.5,0.0195994,
10.0833,0.0940763,-0.490427,22734.4,0.0196359,
10.1042,0.117474,-0.448915,22781.2,0.0195908,
10.125,0.140791,-0.407094,22828.1,0.0196238,
10.1458,0.164013,-0.364994,22875,0.019583,
10.1667,0.187121,-0.322645,22921.9,0.0196132,
10.1875,0.210101,-0.280074,22968.8,0.0195756,
10.2083,0.232938,-0.237311,23015.6,0.0196031,
10.2292,0.255614,-0.194386,23062.5,0.0195686,
10.25,0.278116,-0.151327,23109.4,0.0195947,
10.2708,0.300427,-0.108165,23156.2,0.0195635,
10.2917,0.322531,-0.0649287,23203.1,0.0195863,
10.3125,0.344416,-0.0216475,23250,0.0195582,
10.3333,0.366064,0.0216485,23296.9,0.0195789,
10.3542,0.38746,0.0649289,23343.8,0.019554,
10.375,0.408592,0.108166,23390.6,0.0195722,
10.3958,0.429443,0.151328,23437.5,0.0195506,
10.4167,0.45,0.194386,23484.4,0.0195664,
10.4375,0.470249,0.237312,23531.2,0.0195485,
10.4583,0.490175,0.280074,23578.1,0.0195606,
10.4792,0.509766,0.322645,23625,0.019546,
10.5,0.529007,0.364995,23671.9,0.0195556,
